## 超强3简 使用deal_super_3jian.py生成
如果你	rgn/
我觉得	wjd/
是一个	uyg/
就可以	jky/
也可以	yky/
有哪些	ynx/
很多人	hdr/
也就是	yju/
大部分	dbf/
情况下	qkx/
是不是	ubu/
一定要	ydy/
不知道	bvd/
而不是	ebu/
并不是	bbu/
应该是	ygu/
有很多	yhd/
基本上	jbu/
有一个	yyg/
尤其是	yqu/
实际上	uju/
这就是	vju/
可能是	knu/
是因为	uyw/
第一次	dyc/
主要是	vyu/
可能会	knh/
一个人	ygr/
并没有	bmy/
也没有	ymy/
你可以	nky/
不需要	bxy/
都可以	dky/
如果是	rgu/
是一种	uyv/
还可以	hky/
互联网	hlw/
接下来	jxl/
差不多	ibd/
一部分	ybf/
都没有	dmy/
也不是	ybu/
在这里	zvl/
看起来	kql/
我自己	wzj/
我认为	wrw/
不一样	byy/
有时候	yuh/
大多数	ddu/
第一个	dyg/
这一点	vyd/
也不会	ybh/
很容易	hry/
无论是	wlu/
给大家	gdj/
消费者	xfv/
在这个	zvg/
另一个	lyg/
特别是	tbu/
一开始	yku/
其实是	quu/
这时候	vuh/
一个月	ygy/
知识点	vud/
可以说	kyu/
每一个	myg/
年轻人	nqr/
大家都	djd/
不可能	bkn/
那就是	nju/
公众号	gvh/
能不能	nbn/
这两个	vlg/
我个人	wgr/
比较好	bjh/
很重要	hvy/
这本书	vbu/
肯定是	kdu/
普通人	ptr/
事实上	uuu/
越来越	yly/
一句话	yjh/
比如说	bru/
或者说	hvu/
很简单	hjd/
就开始	jku/
还没有	hmy/
可以在	kyz/
让我们	rwm/
相当于	xdy/
小伙伴	xhb/
那时候	nuh/
每个人	mgr/
投资者	tzv/
有可能	ykn/
这句话	vjh/
有一些	yyx/
只需要	vxy/
一直在	yvz/
会不会	hbh/
给自己	gzj/
在国内	zgn/
再加上	zju/
计算机	jsj/
有人说	yru/
之所以	vsy/
不喜欢	bxh/
可以用	kyy/
在一起	zyq/
进一步	jyb/
不管是	bgu/
所以我	syw/
可能性	knx/
到现在	dxz/
有些人	yxr/
第二天	det/
其他人	qtr/
还是要	huy/
把自己	bzj/
一方面	yfm/
让自己	rzj/
你自己	nzj/
告诉你	gsn/
没想到	mxd/
工程师	giu/
说实话	uuh/
如果有	rgy/
我现在	wxz/
一定是	ydu/
两个人	lgr/
就已经	jyj/
关键词	gjc/
性价比	xjb/
第二个	deg/
不一定	byd/
我当时	wdu/
发动机	fdj/
只能说	vnu/
实在是	uzu/
基础上	jiu/
刚开始	gku/
还需要	hxy/
在哪里	znl/
数据库	ujk/
因为他	ywt/
不存在	bcz/
大概是	dgu/
程序员	ixy/
一点点	ydd/
经济学	jjx/
分割线	fgx/
你觉得	njd/
因为我	yww/
考虑到	kld/
意识到	yud/
也不能	ybn/
这个人	vgr/
这些人	vxr/
这首歌	vug/
没办法	mbf/
感受到	gud/
在一个	zyg/
要知道	yvd/
是可以	uky/
支付宝	vfb/
就没有	jmy/
大概率	dgl/
让他们	rtm/
我之前	wvq/
出现在	ixz/
影响力	yxl/
我知道	wvd/
不得不	bdb/
同学们	txm/
浏览器	llq/
更容易	gry/
我还是	whu/
所以说	syu/
就这样	jvy/
产品线	ipx/
转化率	vhl/
有一定	yyd/
服务器	fwq/
一定会	ydh/
专业课	vyk/
