# Rime user dictionary
#@/db_name	moqi
#@/db_type	userdb
#@/rime_version	1.13.0
#@/tick	1633
#@/user_id	b9b9d84e-d65d-4f94-b6e5-e4206f09e7a8
an[bn pd[ff 	安排	c=1 d=0.467666 t=1633
an[bn qr[rw 	安全	c=1 d=0.00265848 t=1633
an[bn vl[ly 	安装	c=0 d=0.0142274 t=1633
an[bn vl[ly bc[bs 	安装包	c=1 d=0.00118858 t=1633
an[bn vo[bu 	安卓	c=4 d=0.404871 t=1633
an[fn vc[oh 	按照	c=2 d=1.26282 t=1633
ba 	吧	c=2 d=0.599392 t=1633
ba[fb 	把	c=5 d=1.09819 t=1633
bb[db hd[dm xb[lj qu[kx 	滨海新区	c=1 d=0.000401622 t=1633
bc 	包	c=2 d=0.016174 t=1633
bc[bs gs[bs 	包公	c=1 d=0.00767337 t=1633
bc[bs ko[fu 	包括	c=2 d=0.0596257 t=1633
bc[fy co[jo 	报错	c=3 d=0.00198589 t=1633
bc[rm cy[uz 	保存	c=0 d=3.02025e-05 t=1633
bc[rm fw[fb 	保费	c=1 d=0.00258188 t=1633
bc[rm fw[fb vh[di le[al 	保费涨了	c=1 d=0.00236968 t=1633
bc[rm uz[bc 	保守	c=1 d=0.0118551 t=1633
bc[rm vg[yv 	保证	c=0 d=0.0113042 t=1633
bc[rm xm[eq 	保险	c=3 d=0.00924827 t=1633
bc[rm yh[yl 	保养	c=4 d=0.012528 t=1633
bd[ab yi[rv 	百亿	c=0 d=0.000975476 t=1633
bh[fj mh[xw 	帮忙	c=1 d=0.0158434 t=1633
bh[fj wo[ga 	帮我	c=3 d=0.316735 t=1633
bh[fj wo[ga gd[jw ig[wv 	帮我改成	c=1 d=0.0575558 t=1633
bh[fj wo[ga lp[dd iu[uu ld[am 	帮我列出来	c=1 d=0.65377 t=1633
bh[fj wo[ga ue[yu ji[yu yi[aa ge[rl 	帮我设计一个	c=1 d=0.0184074 t=1633
bi[bb jn[if 	比较	c=1 d=0.00264522 t=1633
bi[bb sd[bb 	比赛	c=5 d=0.862791 t=1633
bi[bb wh[rv nm[pf 	比往年	c=1 d=0.506617 t=1633
bj[bf ye[ww 	半夜	c=1 d=0.00388746 t=1633
bj[jy jb[rb 	钣金	c=1 d=0.00358858 t=1633
bj[lb fa[dq 	办法	c=1 d=0.0231676 t=1633
bk 	并	c=3 d=0.182546 t=1633
bk gw[sk iu[uu 	并给出	c=1 d=0.0632918 t=1633
bk[bk gc[nk vi[uk 	并告知	c=1 d=0.132655 t=1633
bm[sc ji[ie 	编辑	c=3 d=0.321607 t=1633
bm[sc yi[yf 	编译	c=1 d=0.000845993 t=1633
bm[wy gg[an 	变更	c=2 d=1.75125 t=1633
bm[zl yr[su 	边缘	c=1 d=0.0784731 t=1633
bn 	表	c=1 d=0.000636198 t=1633
bn[mu vu[dv yi[aa xx[ab 	标注一下	c=0 d=5.67086e-05 t=1633
bn[mu vy[dv 	标准	c=1 d=0.255381 t=1633
bo[ft fh[fw 	播放	c=2 d=0.00110911 t=1633
bo[ft fh[fw qi[kk 	播放器	c=3 d=0.0198667 t=1633
bu 	不	c=2 d=0.0325757 t=1633
bu jx[lk bj[wl 	不加班	c=1 d=0.29671 t=1633
bu pw[bk qm[jj 	不赔钱	c=1 d=0.00400585 t=1633
bu qi[du 	不漆	c=1 d=0.00355287 t=1633
bu vj[uy ui[ex 	不展示	c=1 d=0.000773179 t=1633
bu[ab rh[yu 	不让	c=1 d=0.0409665 t=1633
bu[ab td[dd hc[nz 	不太好	c=1 d=0.00228818 t=1633
bu[ab ui[oz 	不是	c=2 d=0.200083 t=1633
bu[ab vi[uy ii[fc 	不支持	c=1 d=0.0130365 t=1633
bu[ab xm[eg yu[au 	不限于	c=1 d=0.0590129 t=1633
bu[ab xu[ye yc[xn 	不需要	c=0 d=0.000218749 t=1633
bu[ab yc[xn 	不要	c=0 d=0.0148823 t=1633
bu[ab yc[xn mo[lt ji[zb 	不要墨迹	c=1 d=0.149569 t=1633
bu[ab yi[aa dk[bz 	不一定	c=1 d=0.00110822 t=1633
bu[ab yi[ow 	不易	c=1 d=0.00148848 t=1633
bu[ab ys[kf 	不用	c=2 d=1.0557 t=1633
bu[le 	部	c=2 d=0.0214019 t=1633
bu[le ff[bd 	部分	c=1 d=0.680451 t=1633
bu[le mf[dv 	部门	c=1 d=0.0114473 t=1633
bu[pb is[wy 	补充	c=1 d=0.131471 t=1633
bu[pb is[wy yi[aa xx[ab 	补充一下	c=1 d=0.00135358 t=1633
bu[pb tp[bv 	补贴	c=0 d=0.000975476 t=1633
bu[vu vz[mu 	步骤	c=0 d=0.0119433 t=1633
bw 	被	c=1 d=0.00390694 t=1633
cd 	才	c=1 d=0.362402 t=1633
cd[vm ji[rm 	采集	c=0 d=0.00675424 t=1633
cd[vm ji[rm hx[at mm[ao 	采集画面	c=1 d=0.0678809 t=1633
cd[vm ys[kf 	采用	c=1 d=0.066205 t=1633
ce[dd ui[yg 	测试	c=2 d=0.909691 t=1633
ce[vu lt[tk 	策略	c=1 d=0.0403566 t=1633
ci 	次	c=4 d=0.235322 t=1633
ci[vb 	此	c=1 d=0.0356146 t=1633
ci[vb ui[oc 	此时	c=1 d=0.000678925 t=1633
cj[sp jx[lk 	参加	c=1 d=0.386741 t=1633
co[jo wu[yt 	错误	c=1 d=0.000728153 t=1633
cs 	从	c=4 d=0.295438 t=1633
da 	大	c=2 d=0.0974466 t=1633
da mo[md xk[kt 	大模型	c=3 d=0.498003 t=1633
da[ar gd[mw 	大概	c=1 d=0.167797 t=1633
da[ar hx[ru 	大华	c=1 d=0.0124629 t=1633
da[ar ll[ol 	大量	c=2 d=0.191479 t=1633
da[ar pk[uk 	大屏	c=6 d=0.564048 t=1633
da[ar xn[lb 	大小	c=1 d=0.256661 t=1633
da[fk jm[zy 	搭建	c=2 d=0.933317 t=1633
